Time,Degrees,Fahrenheit
8:44 AM, 35.25 C  ,95.45 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.38 C  ,95.68 F
8:44 AM, 35.38 C  ,95.68 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.25 C  ,95.45 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.25 C  ,95.45 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:44 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, -127.00 C,  -196.60 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.25 C  ,95.45 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, -127.00 C,  -196.60 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.31 C  ,95.56 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:45 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, -127.00 C,  -196.60 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, -127.00 C,  -196.60 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.50 C  ,95.90 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, -127.00 C,  -196.60 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.38 C  ,95.68 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:46 AM, 35.44 C  ,95.79 F
8:47 AM, -127.00 C,  -196.60 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.50 C  ,95.90 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, -127.00 C,  -196.60 F
8:47 AM, 35.44 C  ,95.79 F
8:47 AM, 35.38 C  ,95.68 F
8:47 AM, 35.31 C  ,95.56 F
8:47 AM, 35.31 C  ,95.56 F
